English,Malay
knuckleduster,"n. penumbuk besi; buku lima besi (sebagai tambahan kepada penumbuk, digunakan dalam pergaduhan)."
koala,n. koala bear (Austr.) beruang koala; sejenis beruang kecil pemanjat pokok.
kohl,n. celak; bahan penghitam kelo- pak mata.
kohlrabi,n. kubis dengan batang seperti sengkuang (boleh dimakan).
kookaburra,n. (burung) pekaka; (Austr.) raja udang besar.
kopeck,n. duit syiling Rusia; satu per seratus rubel.
Koran,n. Quran; al-Quran.
kosher,a. (daging) yang disembelih oleh orang Yahudi. -n. makanan yang mengikut peraturan pemakanan orang Yahudi.
kowtow,v.i. hormat yang melampau; tunduk (hormat).
k.p.h.,abbr. kilometres per hour kilometer sejam.
Kremlin,n. kerajaan negara Rusia.
krill,n. hidupan halus di laut yang menjadi bahan makanan paus.
krona,n. unit asas mata wang Sweden (pl kronor) atau Iceland (pl kronur).
krone,n. (pl. kroner) unit asas mata wang Denmark dan Norway.
krugerrand,n. kupang emas Afrika Selatan bertera gambar Presiden Kruger.
kudos,n. (colloq.) keagungan; kepu- jian dan kehormatan.
kumquat,n. limau kumkuat.
kung,fu seni mempertahankan diri Cina (tanpa menggunakan senjata).
Kurd,n. orang Kurdistan di utara Iran. Kurdish a. berkenaan orang atau bahasa Kurdistan.
kV,abbr. kilovolt(s) kilovolt; 1000 volt (elektrik).
kW,abbr. kilowatt(s) kilowatt; 1000 watt (elektrik).
I,abbr. liter.
L,abbr. pelajar.
lab,n. (colloq.) makmal.
label,n. label. -v.t. (p.t. labelled) membubuh label; mengecap sebagai.
labia,n. labia; bibir luar dan dalam faraj wanita.
labial,a. labial; berkenaan dengan bibir. laboratory n. makmal.
laborious,a. memerlukan atau menun- jukkan susah payah. laboriously adv. dengan susah payah.
Labour,a. & n. berkenaan dengan parti politik di UK yang mewakili kepentingan pekerja. Labourite n. ahli parti berkenaan.
labour,n. usaha; kerja; pekerjaan; kontraksi rahim semasa kelahiran. -v.t.i. bekerja keras; berkembang atau bergerak dengan susah payah; memberi penekanan dengan panjang lebar.
laboured,a. menunjukkan tanda kerja keras.
labourer,n. buruh; pekerja yang mem- buat kerja-kerja kasar.
Labrador,n. sejenis anjing pemburu. laburnum n. sejenis pohon berbunga kuning.
labyrinth,n. rangkaian lorong atau garisan yang berselirat penuh. labyrinthine a. berselirat.
lace,n. tali; renda. -v.t. membubuh atau menghiasi dengan renda; menambahkan sedikit arak kepada minuman.
lacerate,v.t. mencederakan dengan mengoyak atau melukakan. laceration n. kecederaan; (Iuka).
lachrymal,a. berkenaan air mata.
lachrymose,a. penuh dengan air mata; suka menangis.
lack,kekurangan; kesempitan. -v.t. tidak atau kurang mempunyai.
lackadaisical,a. lesu; tidak bersemangat. lackey n. (pl. -eys) lelaki suruhan; babu; bujang; pengikut yang patuh.
lacking,a. tidak ada; tidak mempunyai; kurang.
lacklustre,a. membosankan; menjemu- kan; buram; suram.
laconic,a. pendek; ringkas. laconically adv. dengan pendek; dengan ringkas.
lacquer,n. laker; sampang. -v.t. melapisi dan mengilatkan dengan laker atau sampang.
lacrosse,n. sejenis permainan bola. lactation n. laktasi; pengeluaran susu. lactic acid n. asid laktik; sejenis asid yang hadir dalam susu masam atau yang terhasil di dalam otot ketika bersenam.
lactose,n. laktosa; sejenis gula yang hadir di dalam susu.
lacuna,n. (pl. -ae) lompang; ruang atau bahagian yang kosong.
lacy,a. yang berkenaan dengan atau menyerupai renda.
lad,n. budak lelaki.
ladder,n. tangga. -v.t.i. mencarik; tercarik (stoking).
laden,a. sarat atau penuh.
lading,n. barangan.
ladle,n. pencedok; senduk. -v.t. men- cedok; menyenduk.
lady,"n. wanita; siti; nyonya; perem- puan yang baik-baik. Lady gelaran untuk isteri, balu, atau anak perem- puan golongan bangsawan tertentu (U.K). Lady chapel bahagian dalam gereja dikhususkan untuk 'Virgin Mary', lady-in-waiting n. wanita yang dipertanggungjawabkan untuk menjaga permaisuri atau puteri raja."
ladybird,n. kekabuh kura-kura.
ladylike,a. bersifat kewanitaan; ber- budi bahasa dan berbangsa.
ladyship,n. gelaran untuk wanita ber- darjat.
lag,v.t. (p.t. lagged) bergerak terlalu perlahan. -n. lambat; ketinggalan.
lag,v.t. (p.t. lagged) menebat; mem- balut dengan bahan yang menghalang daripada hilangnya haba.
lag,n. old lag (si.) orang salah; ban- duan yang telah beberapa kali dipen- jarakan.
lager,n. sejenis bir.
laggard,n. orang yang ketinggalan di belakang; orang lembap.
lagging,"n. bebatan; pembebat; bahan untuk membalut paip, dsb."
lagoon,n. lagun; danau air masin ber- hampiran dengan pantai.
laicize,"v.t. menjadi sekular, duniawi. laicization keduniaan."
laid,lihat lay3.
lain,lihat lie2.
lair,n. tempat tinggal binatang liar; jerumun.
laird,n. (Sc.) pemilik atau tuan punya tanah.
laissezfaire,n. das ar kerajaan tidak campur tangan.
laity,n. orang awam.
lake,n. tasik.
lakh,"n. (di India) seratus ribu rupee, lam v.t.i. (p.t. lammed) membelasah. lama n. lama; sami Buddha di negara Tibet dan Mongolia."
lamasery,n. biara atau tempat kediam- an lama.
lamb,n. anak kambing biri-biri; orang yang lemah lembut dan dikasihi.
lambaste,v.t. (colloq.) memukul; meng- hukum dengan berat.
lambent,a. (cahaya) berkilauan; ber- cahaya.
lambswool,n. bulu kambing biri-biri yang halus dan lembut.
lame,"a. (-er, -est) pincang; tempang. lamely adv. dengan pincang. lameness n. kepincangan; ketempangan."
lame,n. fabrik daripada benang emas atau perak yang ditenun.
lament,n. ratap; tangis; keluh. -v.t.i. meratapi; menangisi; mengeluhi. lamentation n. ratapan; tangisan; keluhan.
lamentable,a. yang menyedihkan atau mendukacitakan. lamentably adv. dengan rasa sedih.
lamented,a. dukacita.
laminate,n. bahan berlamina.
laminated,a. berlamina; berlapis; berari. lamp ti. lampu. lamp-post n. tiang lampu di tepi jalan.
lampoon,n. tulisan sindiran. -v.t. menulis rencana yang mencemuh dan mencela seseorang.
lamprey,n. (pl. -eys) lamprei; sejenis haiwan air yang kecil seperti belut.
lampshade,n. terendak lampu.
lance,n. lembing; tombak. lance- corporal n. pangkat di bawah pang- kat koperal.
lanceolate,a. meruncing ke hujung seperti lembing.
lancer,n. tentera yang bersenjatakan lembing.
lancet,n. pisau tajam bermata dua yang digunakan oleh doktur bedah.
land,"n. tanah. -v.t.i. pergi atau naik ke darat; (berkenaan dengan kapal terbang) mendarat; turun ke bumi atau ke permukaan air; membawa ke atau tiba di satu tempat atau keadaan; memukul; membawa seekor ikan ke daratan; mendapatkan (hadiah, dsb.). land-locked a. dikelilingi tanah."
landau,n. kereta kuda landau.
landed,a. mempunyai dan mengan- dungi tanah.
landfall,n. penyaksian daratan (selepas perjalanan laut atau udara).
landfill,"n. bahan buangan, dsb. digunakan dalam landskap atau timbus guna tanah."
landing,n. mendarat. landing-stage n. pelantar pendaratan.
landlady,n. tuan rumah atau tuan tanah wanita.
landlord,n. tuan rumah; tuan tanah.
landlubber,n. (colloq.) orang yang tidak biasa dengan laut.
landmark,n. tanda tempat; tanda yang nyata pada landskap; sejarah ditempa untuk sesuatu perkara.
landscape,a. landskap; pemandangan keadaan alam. -v.t. membuat seni taman.
landslide,n. tanah runtuh; kemenangan besar.
landslip,n. gelinciran tanah.
landsman,n. (pl. -men) seseorang yang bukan pelaut.
landward,a. & adv. menghala ke daratan. landwards adv. arah kedarat.
lane,n. lorong.
language,n. bahasa; perkataan dan kegunaannya.
languid,a. lemah longlai; tidak ber- maya. languidly adv. dengan lemah longlai.
languish,v.i. merana; rindu akan; tinggal dalam keadaan yang tidak memuaskan.
languishing,a. kelihatan merana.
languor,n. kelemahan. languorous adj. keadaan lemah.
lank,a. tinggi lampai dan kurus.
lanky,"a. (-ier, -iest) kurus tinggi. lankiness n. keadaan kurus tinggi."
lanolin,n. lanolin; lemak daripada bulu biri-biri untuk dibuat ubat sapu.
lantern,"n. tanglung, lantern-jawed a. rahang cengkung."
lanyard,n. lanyard; tali penyandang.
lap,n. riba; pangkuan; pusingan; lipatan. -v.t.i. (p.t. lapped) membalut atau melipat; mendahului beberapa pusingan dalam perlumbaan. lap-dog n. anjing kesayangan.
lap,v.t.i. (p.t. lapped) sesap; sedut. lapel n.lapel; kelepet atau pelipat baju (di kolar).
lapidary,a. yang berkenaan dengan batu.
iapiz,lazuli n. lapis lazuli; lazuardi; batu biru separa bernilai.
Laplander,n. penduduk peribumi Lapland.
Lapp,"n. penduduk dan bahasa Lapland, lappet n. penutup, lipat."
lapse,v.i. merosot; luput. -n. kesilapan kecil; keterlanjuran; selang beberapa waktu.
laptop,n. komputer riba.
larboard,a. & n. sebelah kiri (kapal). larceny n. pencurian.
larch,n. sejenis pokok pain.
lard,n. lemak khinzir. -v.t. mem- bubuhi lemak khinzir pada makanan
yang,hendak dipanggang; menyedap- kan (ucapan atau penujisan) dengan menggunakan frasa bahasa asing atau teknikal. lardy a. seperti lemak; berlemak.
larder,n. bilik atau gerobok simpan makan an.
large,"a. (-er, -est) besar; luas. -adv. perihal panjang lebar atau besar. at large bebas bergerak. largeness n. kebesaran; besarnya."
largely,adv. sebahagian besar.
largesse,n. wang atau hadiah yang disampaikan dengan murah hati; kemurahan hati.
lariat,n. laso; tanjul; tali yang digelungkan pada bahagian hujung dan dibalingkan ke leher kuda untuk menangkapnya.
lark,n. sejenis burung.
lark,n. gurau senda; kelucuan. -v.i. bermain-main dan bersenda gurau.
larkspur,n. tumbuhan dengan bunga- nya berwarna biru atau merah jambu.
larva,n. (pl. -vae) larva; serangga pada tahap awal atau sebaik menetas. larval a. berkenaan larva; berbentuk larva.
laryngitis,n. laringitis; sakit tenggorok. larynx n. larinks; peti suara; tenggorok;
lasagne,n.pl. sejenis pasta yang dimasak dengan lapisan keju dan daging.
lascivious,a. penuh syahwat dan berahi. lasciviously adv. dengan berahi- nya. lasciviousness n. keberahian; kenafsuan.
laser,n. laser; pancaran cahaya yang dibuat dengan alat yang khusus.
lash,v.t.i. memukul dengan cambuk; menyebat; melibaskan; mengecam; menyelar. -n. pukulan cambuk; bahagian cambuk yang boleh dilenturkan; bulu mata. lash out serangan dengan kata-kata atau tumbukan; belanja berlebihan.
lashings,n.pl. (si.) banyak.
lass,lassie ns. (Sc. & N. Engl.) gadis. lassitude n. kelelahan; kelemahan.
lasso,n.(pl. -oes) laso; jerat; tanjul.
last,n. kelebut kasut.
last,"a. & adv. terakhir; terkebelakang. -n. barang atau orang yang terakhir. at last, at long last akhirnya. last post bunyi tetuang tentera yang dilakukan pada waktu petang dan ketika upacara pengebumian. last"
straw,sesuatu yang membuat sese- orang hi lang sabar atau tidak tahan lagi. last trump tiupan sangkakala pada hari kiamat. last word katakata terakhir atau kata putus; fesyen terkini. on its last legs hampir mati; penggunaannya hampir tamat.
last,v.t.i. berterusan; berlarutan; tahan. lastly adv. akhirnya.
latch,n. selak; kancing pintu. -v.t.i. menyelak; mengancing pintu.
latchkey,n. kunci pintu depan.
late,"a. & adv. (-er, -est) terlambat; lebih daripada waktunya; yang baru lalu; almarhum. of late kebelakangan ini. lateness n. kelambatan."
lately,adv. baru-baru ini: kebelakangan ini.
latent,a. diam; pendam; tersembunyi. lateral a. lateral; sisian. -n. bahagian
si,"si. laterally adv. secara lateral, latex n. susu getah; lateks."
lath,n. (pl. laths) belebas; bilah pelupuh. lathe n. bindu; mesin pelarik.
lather,n. busa; buih. -v.t.i. meliputi atau membentuk buih.
Latin,n. bahasa Latin. -a. dari atau dalam bahasa Latin; bercakap dalam bahasa yang asasnya Latin.
latitude,n. garis lintang; latitud.
latitudinarian,"a. & n. (orang) liberal dalam pendapat, dsb. terutama agama."
latrine,n. tandas.
latter,a. terkemudian; berkenaan dengan akhirnya. latter-day a. waktu akhirnya; moden.
latterly,adv. sejak akhir-akhir ini; dewasa ini.
lattice,n. kisi-kisi. lattice window tingkap kekisi.
laud,v.t. & n. memuji; pujian.
laudable,a. terpuji. laudably adv. dengan cara terpuji.
laudanum,n. candu yang digunakan sebagai pelali.
laudatory,a. bersifat memuji.
laugh,v.t.i. tertawa; gelak. -n. per- buatan k?tawa; (colloq.) kejadian yang melucukan. laughing-stock n. orang atau benda yang menjadi bahan ejekan.
laughable,a. menggelikan hati; lucu; mustahil.
laughter,n. ketawa.
launch,v.t.i. melancarkan. -n. pelancaran. launch out belanja ber- habisan; memulakan perniagaan.
launch,n. sejenis motobot besar. launder v.t. basuh dan gosok (pakaian). launderette n. kedai dobi.
laundress,n. perempuan yang mem- basuh baju.
laundry,n. tempat mencuci pakaian.
Laureate,a. Poet Laureate penyair yang dilantik untuk menulis puisi sesuatu peristiwa negara.
laurel,"n. pohon laurel, (pl.) memperoleh kemenangan atau penghormatan."
lav,n. (colloq.) lavatory tandas. lava n. lava; lahar gunung berapi. lavatory n. tandas.
lavender,n. lavender; sejenis bunga yang sangat harum. lavender- water minyak wangi yang diperbuat daripada bunga lavender.
lavish,a. sangat mewah. -v.t. memberi kan sesuatu dengan mewahnya lavishly adv. dengan mewahnya; secara berlebihan. lavishness n. kemewahan.
law,n. hukum; undang-undang. law- abiding a. taat pada undang-undang; patuh kepada hukum.
lawcourt,n. mahkamah.
lawful,a. menurut hukum; menurut undang-undang. lawfully adv. dengan cara yang sah di sisi undang-undang.
lawless,a. tidak menurut undang- undang. lawlessness n. perihal tidak menurut undang-undang; ketiadaan undang-undang.
lawn,n. kain kapas atau tiruan yang halus.
lawn,n. halaman yang berumput. lawn-mower n. mesin pemotong rum- put. lawn tennis (lihat tennis).
lawsuit,n. tuntutan mahkamah; dakwaan.
lawyer,n. peguam.
lax,a. lemah dan tidak tegas. laxly adv. dengan lalainya. laxity n. kelalaian.
laxative,a. & n. ubat pencuci perut; julap.
lay,(usang) puisi untuk nyanyian.
lay,a. bukan ahli.
lay,"v.t.i. (p.t. laid) meletakkan; mem- baringkan; menyediakan; mengurang- kan; bertelur; (salah penggunaan) bohong. -n. keadaan; cara barang diletakkan. lay about one memukul- mukul (secara sembarangan). lay hold of memegang, lay into (si.) menghentam; memarahi. lay off (colloq.) berhenti. lay-off n. diberhen- tikan sementara; dibuang kerja. lay out meletakkan mengikut rancangan; menumbangkan seseorang. lay up menyimpan. lay waste memusnahkan tanaman dan bangunan (sesuatu kawasan)."
lay,figure patung contoh; rangka tubuh manusia yang diperbuat daripada kayu yang disambung-sambung yang digunakan oleh pelukis.
layby,n. hentian sebelah; satu kawa- san di tepi jalan tempat meletakkan kenderaan agar tidak menghalang lain lintas.
layabout,n. seorang yang malas dan mengelakkan kerja untuk saraan hidupnya.
layer,"n. lapisan; petala. -v.t. diaturkan dalam lapisan; mencucukkan seba- hagian daripada tumbuhan ke tanah supaya berakar, manakala bahagian tersebut masih merupakan sebahagian daripada tumbuhan induk."
layette,n. pakaian untuk bayi.
layman,n. (pl. -men) orang kebanyak- an dan bukan yang ahli mana-mana golongan atau persatuan.
layout,n. susun atur; reka letak.
laze,v.i. bermalas-malas; duduk berehat-rehat. -n. perbuatan atau waktu bermalas-malas.
lazy,"a. (-ier, -iest) tidak mahu bekerja; tidak membuat banyak kerja; malas. lazy-tongs n. alat untuk mengambil barang yang jauh. lazily adv. dengan malas. laziness n. kemalasan."
lazybones,n. (colloq.) berat tulang; pemalas; penyegan.
lb,abbr. pound paun.
lea,n. (puisi) padang rumput.
leach,v.t.i. melarut resap; menapis air menggunakan penapis.
lead,"v.t.i. (p.t. led) memandu dan menunjukkan jalan; memimpin; mengetuai; mendahului. -n. panduan; pimpinan; pedoman; teiadan; mengi- kut teiadan seseorang; memperoleh tempat pertama dalam perlumbaan; tali daripada kulit yang diikat pada leher anjing; wayar yang mengalirkan arus elektrik; hak untuk menurunkan daun pertama dalam permainan daun terup; bahagian utama atau terpenting dalam lakonan atau cerita; pelakon utama dalam lakonan. lead up to memperkenalkan atau cuba menge- mukakan; membawa kepada. leading article rencana akhbar yang memberikan pandangan editor, leading question soalan yang diatur untuk mendapatkan jawapan yang dikehendaki"
lead,"n. timah hitam; plumbum; (pensel) grafit; (pl.) jalur-jalur plumbum, swing the lead (si.) pura-pura sakit untuk mengelakkan kerja."
leaded,a. yang dilingkungi atau diselaputi oleh plumbum.
leaden,a. seperti timah hitam yang sangat berat.
leader,n. orang yang memimpin; pemimpin. leadership n. kepimpinan.
leaf,n. daun. -v.i. leaf through mem- buka helai buku. leaf-mould n. tanah yang mengandungi daun-daun reput.
leafage,n. daun-daun; dedaun. leafless a. tidak berdaun.
leaflet,n. risalah; surat sebaran.
leafy,a. berdaun banyak; rimbun dan rendang.
league,n. (usang) ukuran jarak kira- kira 5 km.
league,n. gabungan orang atau negara untuk tujuan tertentu; persatuan dan kelab sukan yang bertanding untuk merebut sesuatu kejohanan. -v.t. menubuhkan pakatan atau gabungan. in league with bersekutu; bersubahat.
leak,n. bocor; tiris. -v.t.i. bolos atau keluar dari bekas; memberitahu; diketahui. leakage n. kebocoran. leaky a. bocor.
lean,"a. (-er, -est) tidak berlemak; daging yang tidak berlemak. leanness n. keadaan dan perihal kurus. -n. daging yang tidak berlemak."
lean,"v.t.i. (p.t. leaned, p.p. leant) condong; cenderung. lean on ber- sandar; berpaut. lean-to n. sengkuap; bertahan pada bangunan lain."
leaning,M. rujukan; kecenderungan.
leap,"v.t.i. (p.t. leaped, p.p. leapt) melompat; meloncat. -n. lompatan; loncatan; terkaman. leap year tahun lompat; tahun kabisat."
leapfrog,n. permainan lompat katak. -v.t.i. (p.t. frogged) melakukan lompatan; berselang-seli melompat.
learn,"v.t.i. (p.t. learned, p.p. learnt) belajar; mempelajari. learner n. orang yang belajar; pelajar."
learned,a. terpelajar; berpengetahuan. learning n. pengetahuan dan pelajaran yang diperoleh daripada proses pem- belajaran.
lease,n. pajakan; sewa. -v.t. memajak- kan; menyewakan. leasehold n. pega- ngan pajak; sewaan. leaseholder n. pemegang pajak; penyewa.
leash,n. tali anjing yang diikat ke teng- kuknya. -v.t. menguasai; mengebat; menghalang; menyekat.
least,"a. yang terkecil; tersedikit. -n. bahagian yang tersedikit, dsb. -adv. yang paling sedikit."
Levant,n. bahagian Timur Lautan Mediterranean. Levantine a. & n. berkenaan bahagian timur Laut Mediterranean atau penduduknya.
levee,n. perhimpunan formal bagi pelawat.
levee,n. (A.S.) tetambak menghalang ombak.
level,"a. rata; datar. -n. garisan atau permukaan yang mendatar; aras; paras; tahap; peringkat; kawasan datar; alat pengaras; alat untuk menguji ini. -v.t.i. (p.t. levelled) meratakan; menyamakan; meruntuhkan bangun- an; menghalakan senjata, peluru ber- pandu atau tuduhan. level crossing tempat kereta dan kereta api melintas pada aras yang sama, level-headed a. berfikiran sihat; waras; siuman. leveller n. sesuatu yang meratakan; orang yang ingin menghapuskan per- bezaan darjat dalam masyarakat."
lever,n. tuil; tuas; pengumpil.
leverage,n. kekuatan atau daya pengumpil; penuilan; penyungkitan.
leveret,n. arnab muda.
leviathan,n. benda yang besar dan kuat. levitate v.t.i. naik atau menyebabkan naik dan terapung di udara. levitation n. pengapungan.
levity,n. sikap tidak kisah; tidak peduli.
levy,v.t. mengenakan bayaran dengan cara paksa mengikut undang-undang. -n. perihal mengenakan cukai.
lewd,"a. (-er, -est) lucah; tidak sopan; gatal; miang. lewdly adv. dengan tidak bersopan; secara lucah. lewdness n. kelucahan."
lexical,a. berkenaan perkataan; leksikal. lexically adv. dari segi leksikal.
lexicography,n. perkamusan; leksiko- grafi. lexicographer n. penyusun kamus; ahli leksikografi.
lexicon,n. kamus; leksikon.
ley,n. tanah yang ditanami rumput buat sementara.
liability,tanggungjawab; kewajipan; (colloq.) sesuatu yang menyusahkan; bebanan; (pl.) liabiliti; hutang-piutang.
liable,a. berkewajipan; bertanggung- jawab; berkemungkinan.
liaise,v.i. (colloq.) berhubung.
liaison,a. perhubungan.
liana,n. pokok akar; pokok menjalar di hutan tropika.
liar,n. pembohong.
libation,n. persembahan minuman kepada dewa.
libel,i. libel; penyebaran fitnah secara bertulis. -v.t. (p.t. libelled) mem- fitnahkan secara bertulis. libellous a. mengeji; mengandungi fitnah.
Liberal,a. & n. parti politik di Britain yang menentang Konservatif. Liberalism n. liberalisme; pandangan dan pendapat yang bebas dan terbuka.
liberal,a. liberal; orang yang ber- fahaman bebas. liberally adv. dengan sikap bebas dan terbuka. liberality n. berkenaan fikiran luas dan kemurah- an hati.
liberalizer,melonggarkan;meliberal- kan. liberalization n. pelonggaran.
liberate,v.t. melepaskan; membebas- kan. liberation n. kebebasan. liberator n. pembebas.
libertarian,n. orang yang percaya tentang kebebasan dan campur tangan kerajaan yang terhad dalam kehidupan seseorang. libertarianism n. amalan tentang adanya campur tangan kerajaan yang terhad dalam kehidupan seseorang.
libertine,n. lelaki yang suka berfoya dan tidak menghormati kaum wanita; buaya darat.
liberty,n. kemerdekaan; kebebasan. take the liberty kebebasan melaku- kan sesuatu. take liberties bebas berbuat apa sahaja walaupun tidak sepatutnya.
libido,n. (pl. -os) keinginan nafsu syahwat.
librarian,n. pustakawan.
library,n. kutubkhanah; perpustakaan. libretto n. (pl. -os) libreto; lirik atau cerita untuk sebuah opera atau drama muzik.
lice,lihat louse.
licence,kebenaran rasmi; lesen; izin. license v.t. memberi lesen; memberi kebenaran.
licensee,n. pemegang lesen.
licentiate,n. orang yang bertauliah.
licentious,a. jangak; gasang. licentiousness n. kegasangan.
lichgate,n. pintu gerbang yang ber- bumbung.
lichen,"n. liken; tumbuhan berwarna hijau, kuning atau kelabu yang tumbuh di atas batu."
lick,"v.t.i. menjilat; (tentang ombak atau api) menyentuh dengan perla- han; (si.) mengalahkan. -n. jilatan; pukulan dengan kayu, dsb.; peng- gunaan sedikit (cat, dsb.); (si.) kadar yang pantas. lick into shape menjadi- kan elok atau rapi."
licorice,n. (A.S.)  liqourice bahan berwarna hitam yang digunakan dalam ubat atau sebagai gula-gula.
lid,n. tudung; penutup.
lido,n. (pl. -os) kolam renang atau pantai tempat mandi untuk orang ramai.
lie,"n. bohong; karut; dusta. -v.i. (p.t. lied, press.p. lying) bercakap bohong. give the lie to menidakkan."
lie,"v.t.i. (p.t. lay, p.p. lain, pres.p. lying) baring. -n. kedudukan; kea- daan; cara barang diletakkan. lie low inenyembunyikan diri atau niat."
liege,n. (usang) pemerintah atau tuan tanah yang berhak menerima khidmat percuma dan penghormatan daripada rakyatnya atau orang di bawah kuasa- nya.
lien,n. lien; hak untuk memiliki harta orang lain sehingga hutang dibayar.
lieu,n. in lieu sebagai ganti.
lieutenant,"n. pegawai bertauliah dalam tentera, bawah daripada pangkat kapten; leftenan."
life,"n. (pl. lives) kehidupan. life cycle kitaran atau putaran hidup. life-guard anggota penyelamat; pakar renang yang bertugas menyelamatkan orang dalam bahaya kelemasan. life-jacket jaket keselamatan. life-preserver belantan untuk mempertahankan diri; boya atau pelampung keselamatan, jaket keselamatan. life-size, life-sized adjs. sama dcngan saiz asal."
lifebelt,n. boya atau pelampung keselamatan.
lifeboat,n. bot keselamatan; bot untuk kecemasan.
lifebuoy,n. boya keselamatan; alat yang membolehkan seseorang itu terapung.
lifeless,a. mati; pengsan.
lifelike,n. seakan-akan betul; tampak hidup.
lifeline,n. tali keselamatan; alat atau cara perhubungan yang tunggal; sesuatu yang penting untuk meneruskan kehidupan.
lifelong,a. sepanjang hayat.
lifetime,n. hayat; (tempoh) sepanjang hayat; masa hidup.
lift,"v.t.i. mengangkat; (colloq.) men- curi. -n. angkat; lif: alat untuk meng- angkut orang atau barangan dari satu aras ke aras yang lain, terutamanya dalam bangunan; perihal memberi tumpang; keriangan. lift-off n. pelancaran."
ligament,n. ligamen; tisu yang kuat yang menghubungkan tulang.
ligature,n. tali pengikat; sambungan; (muzik) ligatur.
light,"n. cahaya. -a. diterangi cahaya; tidak berada dalam kegelapan; pucat. -v.t.i. (p.t. lit atau lighted) mem- bakarkan; menyalakan; memberikan cahaya; menerangi. bring to light mendedah. come to light terdedah; diketahui. light up menerangi. light- year n. tahun cahaya; jarak pergerakan cahaya dalam setahun, lebih kurang 6 juta batu."
light,"a. (-er, -est) ringan. -adv. ringan dengan beban yang sedikit. light-lingered a. suka mencuri. lightheaded a. hendak pengsan. make light of memandang ringan. lighthearted a. gembira. lightly adv. tidak bersungguh-sungguh; menganggap ringan atau tidak serius. lightness n. kecerahan; keringanan."
light,v.i. (p.t. lit atau lighted) light on terjumpa secara kebetulan. light out (si.) bertolak; cabut.
lighten,v.t.i. menerangkan.
lighten,v.t.i. meringankan.
lighter,n. pemasang api rokok; peme- tik api.
lighter,"n. perahu leper di bahagian bawah untuk memunggah barang; tongkang, lighterman n. pemunggah barang (di tongkang)."
lighthouse,n. rumah api.
lighting,n. lampu; pencahayaan.
lightning,n. kilat. -a. dengan pantas. like lightning seperti kilat; terlalu pantas.
lights,n.pl. paru-paru binatang tertentu yang dijadikan bahan makanan binatang.
lightship,n. kapal dengan cahaya suar yang dijadikan rumah api.
lightsome,a. tangkas; lincah; riang. lightweight a. tidak mempunyai berat atau pengaruh yang besar. -n. orang yang kurang beratnya; berat dalam tinju (60 kg).
lignite,n. lignit; batu arang coklat.
like,"a. sama; serupa. -prep, seperti; yang sama dengan. -conj. (colloq.) seperti. -adv. (colloq.) kemungkinan; sepertinya. -n. orang atau barang yang serupa. like-minded a. sependapat."
like,v.t. ingin; suka akan. likes n.pl. kesukaan; kegemaran.
likeable,a. menyenangkan; mudah disukai.
likelihood,n. kemungkinan.
likely,"a.(-ier, -iest) berkemungkinan terjadi sesuatu. -adv. kemungkinan-"
likeliness,n. besar kemung- kinan.
liken,v.t. menyamakan; menunjukkan persamaan.
likeness,n. seperti; semacam.
likewise,"adv. begitu juga; tambahan pula, liking n. kesukaan seseorang; perasaan suka."
lilac,n. sejenis tumbuhan yang berbu- nga ungu muda atau putih dan harum baunya. -a. berwarna ungu muda.
liliaceous,a. keluarga bunga lili. liliputian a. halus; sangat kecil.
lilt,n. nada; intonasi; irama atau lagu yang menyegarkan. lilting a. beralun- alun.
lily,n. bunga teratai.
limb,"n. anggota badan (seperti tangan, kaki. dsb.). out on a limb terasing; terpencil."
limber,a. mudah lentur; tidak tegang.
limbo,n. keadaan dilupakan; terlantar; terawang-awang.
limbo,n. {pl. -os) tarian orang Hindia Barat.
lime,1. kapur; benda putih yang digunakan untuk membuat simen.
lime,n. buah limau nipis.
lime,"n. sejenis pohon berbunga kecil berwarna kuning dan harum baunya; linden, lime-tree n. pokok linden."
limelight,n. (menjadi) perhatian atau tumpuan ramai.
limerick,n. limerik; sejenis sajak lucu terdiri daripada lima baris.
limestone,n. batu kapur.
limit,n. had; batas. -v.t.i. memberi had; mengehadkan supaya tidak lebih; berada dalam had yang ditentukan. limitation n. pembatasan.
limousine,n. limousin; kereta jenis mewah.
limp,v.i. berjalan dengan incang-incut; tempang. -n. perihal berjalan tern- pang.
limp,a. (-er. -est) tidak keras atau tegang; lemah; layu; lembik; kendur. limply adv. dengan lemah; dengan kendur. limpness n. kelemahan; kekenduran.
limpet,n. siput senduk; teritip.
limpid,a. jemih; hening.
linchpin,n. pasak pada hujung gandar roda.
linctus,n. ubat batuk yang menyegarkan.
line,n. garisan. the Line Khatu- listiwa. -v.t. menggaris; diaturkan dalam barisan. get a line on {colloq.) mengetahui tentang sesuatu. in line with selaras dengan.
line,v.t. inengalas; meiapiki. line one's pockets mendapat wang dengan cara haram.
lineage,n. keturunan; asal usul.
lineal,a. berkenaan dengan keturunan yang langsung atau terus.
lineaments,n.pl. raut muka; roman; wajah.
linear,a. berkenaan dengan atau seperti garis datar atau lurus.
linen,n. kain linen; kain yang dibuat daripada rami yang halus.
liner,n. kapal laut atau kapal udara.
liner,n. lapik yang dapat ditanggalkan.
linesman,n. {pl. -men) penjaga garisan; pekerja yang memeriksa landasan kereta api atau yang memperbaiki kabel telefon atau elektrik.
